Skip Startup Frames (-ssf) by Alan (SA Dev)
===========================================

1943, frames to skip 70
720, frames to skip 135
aburner2, frames to skip 40
aliens, frames to skip 430
amidar, frames to skip 260
anteater, frames to skip 70
arcadecl, frames to skip 540
arkanoid, frames to skip 500
armwaru, frames to skip 550
avspu, frames to skip 1130
batman, frames to skip 45
bladestl, frames to skip 190
blastoff, frames to skip 390
blazer, frames to skip 740
blstroid, frames to skip 30
buckrog, frames to skip 50
cameltry, frames to skip 930
ccastles, frames to skip 470
chasehq, frames to skip 610
chopper, frames to skip 250
chplftb, frames to skip 2500
cischeat, frames to skip 90
ckong, frames to skip 5
cninjau, frames to skip 400
commando, frames to skip 650
congo, frames to skip 5
contra, frames to skip 910
crzrally, frames to skip 360
dblaxle, frames to skip 600
ddonpach, frames to skip 1800
ddragonu, frames to skip 230
defender, frames to skip 720
digdug, frames to skip 710
digdug2, frames to skip 290
dimahoo, frames to skip 830
dkong, frames to skip 5
dkong3, frames to skip 20
dotron, frames to skip 40
driftout, frames to skip 510
elvactr, frames to skip 700
extdwnhl, frames to skip 900
frogger, frames to skip 100
galaga, frames to skip 870
galaxian, frames to skip 220
gaplus, frames to skip 480
gng, frames to skip 500
gtg, frames to skip 350
gtg2, frames to skip 350
gtmrusa, frames to skip 350
hopmappy, frames to skip 40
hotchase, frames to skip 980
invadpt2, frames to skip 20
irrmaze, frames to skip 1130
joust, frames to skip 650
joust2, frames to skip 860
jrpacman, frames to skip 340
kotm, frames to skip 920
kotm2, frames to skip 720
krzybowl, frames to skip 490
ladybug, frames to skip 160
lastblad, frames to skip 730
lastbld2, frames to skip 250
mappy, frames to skip 790
marble, frames to skip 130
mercsu, frames to skip 1230
milliped, frames to skip 30
missile, frames to skip 30
mk, frames to skip 1350
mk2, frames to skip 70
mk3, frames to skip 600
mslug, frames to skip 720
mslug2, frames to skip 720
mslug3, frames to skip 250
mspacman, frames to skip 290
nbahangt, frames to skip 240
nbajam, frames to skip 80
ncv1, frames to skip 720
neodrift, frames to skip 910
openice, frames to skip 1230
opwolf, frames to skip 120
opwolf3, frames to skip 581
orunners, frames to skip 510
outrun, frames to skip 40
overtop, frames to skip 1000
pacman, frames to skip 290
pacmania, frames to skip 120
paperboy, frames to skip 120
polepos, frames to skip 370
polepos2, frames to skip 370
popeye, frames to skip 20
puzzloop, frames to skip 415
qbert, frames to skip 5
quantum, frames to skip 350
rallyx, frames to skip 760
rambo3a, frames to skip 740
rampart, frames to skip 360
roadblst, frames to skip 290
robocop2, frames to skip 200
sf1, frames to skip 650
sf2, frames to skip 850
simpsons, frames to skip 600
spidey, frames to skip 340
spyhunt, frames to skip 70
ssi, frames to skip 300
superpac, frames to skip 400
szaxxon, frames to skip 5
tapper, frames to skip 150
term2, frames to skip 390
timeplt, frames to skip 270
turfmast, frames to skip 1180
xmen, frames to skip 1130
zaxxon, frames to skip 5
